"orderid","orderdate","month_order","year_order","customerid","shipperid","sales","costs","profit","quantity","discount","freight","product","category","supplier","supplier_country","employeename","hiredate","office","reports_to","title","year_salary","profit2"
10376,2011-10-05,10,2011,51,3,341.33,280.87,60.46,42,16.25,76.39,Rossi Bermuda Shorts,Bath Clothes,Ravenna Fashion,Italy,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-15.93
10377,2010-03-06,3,2010,32,3,947.14,711.59,235.55,20,123.54,49.19,RDL Suit,Children´s wear,Austerlich,Germany,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,186.36
10377,2010-03-06,3,2010,32,3,1374.94,1033.00,341.94,20,179.34,49.19,Terence Top,Womens wear,Like Paradis,France,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,292.75
10378,2012-03-06,3,2012,24,2,169.14,148.16,20.98,6,0.00,56.37,Atles Lussekofta,Men´s Clothes,Bar Åkeri,Norway,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-35.39
10379,2010-03-12,3,2010,61,2,82.10,64.49,17.61,8,7.46,62.83,Duck Shirt,Babywear,Mayflower,USA,Elvis Presley,1993-09-14,1,"",President,80000,-45.22
10379,2010-03-12,3,2010,61,2,358.16,281.32,76.84,16,32.56,62.83,Serve-Shirt,Womens wear,New Balls,Australia,Elvis Presley,1993-09-14,1,"",President,80000,14.01
10379,2010-03-12,3,2010,61,2,220.00,172.80,47.20,20,20.00,62.83,Stretch oui-pants,Womens wear,Big L,USA,Elvis Presley,1993-09-14,1,"",President,80000,-15.63
10380,2013-03-14,3,2013,37,2,505.10,396.73,108.37,18,45.92,77.11,Baby Dark Lounge Suit,Babywear,Executive Clothing GMBH,Germany,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,31.26
10380,2013-03-14,3,2013,37,2,1341.12,1053.39,287.73,20,121.92,77.11,Jumpin Jack Flash Dress,Womens wear,Cangaroo Shoes,Australia,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,210.62
10380,2013-03-14,3,2013,37,2,31.68,24.88,6.80,6,2.88,77.11,Game Over T-Shirt,Sportwear,FrisersAfrong,France,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-70.31
10380,2013-03-14,3,2013,37,2,814.50,674.41,140.09,30,0.00,77.11,US-Master Jeans,Men´s Clothes,New Balls,Australia,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,62.98
10381,2010-03-19,3,2010,46,2,428.26,354.60,73.66,14,0.00,45.81,Nikee Running Shoes,Children´s wear,Nitsuchiba,Japan,Elvis Presley,1993-09-14,1,"",President,80000,27.85
10382,2010-03-20,3,2010,19,2,179.84,148.91,30.93,32,0.00,72.13,O-Man Underwear,Men´s Clothes,Big L,USA,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-41.20
10382,2010-03-20,3,2010,19,2,241.02,199.56,41.46,9,0.00,72.13,Deuce shirt,Babywear,New Balls,Australia,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-30.67
10382,2010-03-20,3,2010,19,2,1811.32,1499.77,311.55,14,0.00,72.13,Davenport,Men´s Footwear,Austerlich,Germany,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,239.42
10382,2010-03-20,3,2010,19,2,1649.40,1365.70,283.70,60,0.00,72.13,Car Boots,Sportwear,Bar Åkeri,Norway,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,211.57
10382,2010-03-20,3,2010,19,2,1360.50,1126.49,234.01,50,0.00,72.13,Nikee Running Shoes,Children´s wear,Nitsuchiba,Japan,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,161.88
10383,2012-07-22,7,2012,82,3,523.60,433.54,90.06,20,0.00,57.13,Aino Shoes,Babywear,SatSUMAs,Japan,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,32.93
10383,2012-07-22,7,2012,82,3,231.45,191.64,39.81,15,0.00,57.13,Finnish Swimsuit,Sportwear,Nordik Koskenkorva,Finland,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-17.32
10383,2012-07-22,7,2012,82,3,826.40,684.26,142.14,20,0.00,57.13,High Heels Shoes,Ladies´Footwear,Pirilli Company,Italy,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,85.01
10384,2010-03-27,3,2010,5,2,2422.28,2015.97,406.31,28,0.00,66.07,Tennis Suit,Sportwear,Hot Pants,UK,Elvis Presley,1993-09-14,1,"",President,80000,340.24
10384,2010-03-27,3,2010,5,2,79.80,66.07,13.73,15,0.00,66.07,Game Over T-Shirt,Sportwear,FrisersAfrong,France,Elvis Presley,1993-09-14,1,"",President,80000,-52.34
10385,2012-08-30,8,2012,75,3,433.56,299.16,134.40,10,72.26,53.13,Conserve Shoes,Children´s wear,Dressed for Succes,USA,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,81.27
10385,2012-08-30,8,2012,75,3,119.76,82.63,37.13,20,19.96,53.13,Game Over T-Shirt,Sportwear,FrisersAfrong,France,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-16.00
10385,2012-08-30,8,2012,75,3,131.04,90.42,40.62,8,21.84,53.13,Cap,Sportwear,Hot Pants,UK,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-12.51
10386,2012-06-30,6,2012,21,2,61.65,51.05,10.60,15,0.00,67.33,Samba Socker  Socks,Men´s Clothes,Samba,Brazil,Elvis Presley,1993-09-14,1,"",President,80000,-56.73
10386,2012-06-30,6,2012,21,2,84.80,70.21,14.59,10,0.00,67.33,Baywatch Bikkini,Bath Clothes,Smooth Clothes,USA,Elvis Presley,1993-09-14,1,"",President,80000,-52.74
10387,2012-04-14,4,2012,73,2,72.75,65.56,7.19,15,0.00,37.76,Samba Socker  Socks,Men´s Clothes,Samba,Brazil,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-30.57
10387,2012-04-14,4,2012,73,2,285.06,236.03,49.03,6,0.00,37.76,RDL Suit,Children´s wear,Austerlich,Germany,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,11.27
10387,2012-04-14,4,2012,73,2,106.44,88.13,18.31,12,0.00,37.76,Rasta WCT,Sportwear,FrisersAfrong,France,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-19.45
10387,2012-04-14,4,2012,73,2,434.85,360.06,74.79,15,0.00,37.76,Atles Lussekofta,Men´s Clothes,Bar Åkeri,Norway,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,37.03
10388,2010-11-16,11,2010,37,2,156.60,108.05,48.55,15,26.10,44.70,Danske Treshoe,Men´s Footwear,Prael Ltd,Denmark,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,3.85
10388,2010-11-16,11,2010,37,2,1983.60,1368.68,614.92,20,330.60,44.70,Small Crocodile Boots,Ladies´Footwear,Cangaroo Shoes,Australia,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,570.22
10388,2010-11-16,11,2010,37,2,2511.60,2079.60,432.00,40,0.00,44.70,Jumpin Jack Flash Dress,Womens wear,Cangaroo Shoes,Australia,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,387.30
10389,2011-04-17,4,2011,19,2,101.28,83.86,17.42,16,0.00,59.24,Sapporoo Gloves,Babywear,Nitsuchiba,Japan,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-41.82
10389,2011-04-17,4,2011,19,2,562.35,465.63,96.72,15,0.00,59.24,Feiss Fleece Trousers,Sportwear,Mountain International,Canada,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,37.48
10389,2011-04-17,4,2011,19,2,633.60,524.62,108.98,20,0.00,59.24,Sheat Shoes,Sportwear,Fast Runners,Canada,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,49.74
10389,2011-04-17,4,2011,19,2,838.80,694.53,144.27,30,0.00,59.24,US-Master Jeans,Men´s Clothes,New Balls,Australia,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,85.03
10390,2010-09-20,9,2010,32,3,595.98,448.61,147.37,60,54.18,21.89,Rossi Bermuda Shorts,Bath Clothes,Ravenna Fashion,Italy,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,125.48
10390,2010-09-20,9,2010,32,3,288.64,217.27,71.37,40,26.24,21.89,LA. Shorts,Bath Clothes,Smooth Clothes,USA,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,49.48
10390,2010-09-20,9,2010,32,3,487.35,403.53,83.82,45,0.00,21.89,Rodbye Troje,Babywear,Prael Ltd,Denmark,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,61.93
10390,2010-09-20,9,2010,32,3,288.82,217.40,71.42,24,26.26,21.89,Rossi Shorts,Bath Clothes,Ravenna Fashion,Italy,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,49.53
10391,2011-03-20,3,2011,17,2,416.16,345.24,70.92,18,0.00,38.41,Aino Shoes,Babywear,SatSUMAs,Japan,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,32.51
10392,2011-03-21,3,2011,59,1,104.50,86.53,17.97,50,0.00,75.33,Racing Truck  Socks,Sportwear,Bar Åkeri,Norway,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,-57.36
10393,2010-10-22,10,2010,73,2,599.06,410.22,188.84,25,119.81,70.25,Mr X Trousers,Men´s Clothes,Sunny Clothes,UK,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,118.59
10393,2010-10-22,10,2010,73,2,1146.08,759.16,386.91,42,229.22,70.25,Kool Sunglasses,Children´s wear,SatSUMAs,Japan,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,316.67
10393,2010-10-22,10,2010,73,2,126.18,83.58,42.60,7,25.23,70.25,Basket Vest,Sportwear,Der Bahnhof,Germany,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-27.65
10393,2010-10-22,10,2010,73,2,2749.25,1866.97,882.28,70,549.85,70.25,Bike Helmet,Sportwear,Der Bahnhof,Germany,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,812.03
10393,2010-10-22,10,2010,73,2,257.60,213.29,44.31,32,0.00,70.25,Rossi Bermuda Shorts,Bath Clothes,Ravenna Fashion,Italy,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-25.94
10394,2011-03-22,3,2011,36,3,270.40,223.89,46.51,10,0.00,31.84,Aino Shoes,Babywear,SatSUMAs,Japan,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,14.67
10394,2011-03-22,3,2011,36,3,266.70,220.83,45.87,10,0.00,31.84,Sheat Shoes,Sportwear,Fast Runners,Canada,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,14.03
10395,2011-03-23,3,2011,35,2,357.90,269.40,88.50,28,32.54,51.87,Rodbye Troje,Babywear,Prael Ltd,Denmark,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,36.63
10395,2011-03-23,3,2011,35,2,5109.72,3846.23,1263.49,70,464.52,51.87,Jumpin Jack Flash Dress,Womens wear,Cangaroo Shoes,Australia,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,1211.62
10395,2011-03-23,3,2011,35,2,14.96,12.39,2.57,8,0.00,51.87,Racing Truck  Socks,Sportwear,Bar Åkeri,Norway,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-49.30
10396,2012-10-24,10,2012,25,2,344.00,284.83,59.17,40,0.00,52.14,DSW,Ladies´Footwear,Goa Kläder,Sweden,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,7.03
10396,2012-10-24,10,2012,25,2,1780.20,1474.01,306.19,60,0.00,52.14,Atles Lussekofta,Men´s Clothes,Bar Åkeri,Norway,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,254.05
10396,2012-10-24,10,2012,25,2,230.16,190.57,39.59,21,0.00,52.14,Rossi Shorts,Bath Clothes,Ravenna Fashion,Italy,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-12.55
10397,2012-11-22,11,2012,60,1,123.17,88.68,34.49,10,16.07,33.73,Basket Shoes,Sportwear,Hot Pants,UK,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,0.76
10397,2012-11-22,11,2012,60,1,2089.04,1504.11,584.93,18,272.48,33.73,Snake Boots,Men´s Footwear,Cangaroo Shoes,Australia,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,551.20
10398,2011-01-27,1,2011,71,2,163.50,146.39,17.11,30,0.00,27.57,LA. Shorts,Bath Clothes,Smooth Clothes,USA,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-10.46
10398,2011-01-27,1,2011,71,2,4935.48,3715.07,1220.41,120,448.68,27.57,Feiss Fleece Trousers,Sportwear,Mountain International,Canada,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,1192.84
10399,2011-06-27,6,2011,79,2,794.40,693.51,100.89,60,0.00,43.68,Cap,Sportwear,Hot Pants,UK,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,57.21
10399,2011-06-27,6,2011,79,2,829.80,687.07,142.73,30,0.00,43.68,Atles Lussekofta,Men´s Clothes,Bar Åkeri,Norway,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,99.05
10399,2011-06-27,6,2011,79,2,13366.85,11067.75,2299.10,35,0.00,43.68,Minnki Pälsii,Womens wear,Nordik Koskenkorva,Finland,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,2255.42
10399,2011-06-27,6,2011,79,2,168.14,139.22,28.92,14,0.00,43.68,Skirt,Womens wear,Austerlich,Germany,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-14.76
10400,2010-08-29,8,2010,19,2,2554.65,2115.25,439.40,21,0.00,49.41,Davenport,Men´s Footwear,Austerlich,Germany,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,389.99
10400,2010-08-29,8,2010,19,2,203.00,168.08,34.92,35,0.00,49.41,LA. Shorts,Bath Clothes,Smooth Clothes,USA,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-14.49
10400,2010-08-29,8,2010,19,2,646.50,563.20,83.30,30,0.00,49.41,Finnish Sport Blades,Sportwear,Nordik Koskenkorva,Finland,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,33.89
10401,2011-03-09,3,2011,82,3,469.26,388.55,80.71,18,0.00,35.90,Baby Dark Lounge Suit,Babywear,Executive Clothing GMBH,Germany,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,44.81
10401,2011-03-09,3,2011,82,3,2804.20,2556.24,247.96,70,0.00,35.90,High Heels Shoes,Ladies´Footwear,Pirilli Company,Italy,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,212.06
10401,2011-03-09,3,2011,82,3,181.20,150.03,31.17,20,0.00,35.90,Stretch oui-pants,Womens wear,Big L,USA,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-4.73
10401,2011-03-09,3,2011,82,3,1823.40,1509.78,313.62,60,0.00,35.90,Atles Lussekofta,Men´s Clothes,Bar Åkeri,Norway,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,277.72
10402,2010-07-30,7,2010,20,1,544.20,450.60,93.60,60,0.00,46.63,DSW,Ladies´Footwear,Goa Kläder,Sweden,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,46.97
10402,2010-07-30,7,2010,20,1,1231.10,1019.35,211.75,65,0.00,46.63,Serve-Shirt,Womens wear,New Balls,Australia,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,165.12
10403,2010-12-30,12,2010,20,1,245.12,176.49,68.63,21,31.97,26.43,Wimbledon T-Shirt,Sportwear,New Balls,Australia,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,42.20
10403,2010-12-30,12,2010,20,1,2562.32,1844.87,717.45,70,334.21,26.43,Root Boot,Men´s Footwear,Niemegen Boots,Netherlands,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,691.02
10404,2010-07-21,7,2010,49,1,1068.80,842.82,225.97,30,50.90,72.73,Bike Helmet,Sportwear,Der Bahnhof,Germany,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,153.25
10404,2010-07-21,7,2010,49,1,561.54,442.81,118.73,40,26.74,72.73,Balett Shoes,Ladies´Footwear,Asin Fashion Ltd Co,Singapore,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,46.00
10404,2010-07-21,7,2010,49,1,624.33,492.33,132.00,30,29.73,72.73,Finnish Sport Blades,Sportwear,Nordik Koskenkorva,Finland,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,59.27
10405,2010-04-03,4,2010,47,2,924.00,791.66,132.34,50,0.00,75.65,Chantell Shirt,Womens wear,Sunny Clothes,UK,Elvis Presley,1993-09-14,1,"",President,80000,56.69
10406,2011-07-03,7,2011,62,2,197.60,163.61,33.99,10,0.00,73.88,Lenin Jeansshorts,Men´s Clothes,Sunny Clothes,UK,Elvis Presley,1993-09-14,1,"",President,80000,-39.89
10406,2011-07-03,7,2011,62,2,346.83,277.30,69.53,30,31.53,73.88,Basket Shoes,Sportwear,Hot Pants,UK,Elvis Presley,1993-09-14,1,"",President,80000,-4.35
10406,2011-07-03,7,2011,62,2,2187.11,1646.30,540.81,42,198.83,73.88,RDL Suit,Children´s wear,Austerlich,Germany,Elvis Presley,1993-09-14,1,"",President,80000,466.93
10406,2011-07-03,7,2011,62,2,43.34,32.62,10.72,5,3.94,73.88,Mehmet-Tröja,Babywear,ABC,Sweden,Elvis Presley,1993-09-14,1,"",President,80000,-63.16
10406,2011-07-03,7,2011,62,2,41.65,31.35,10.30,2,3.79,73.88,Duck Trousers,Babywear,Mayflower,USA,Elvis Presley,1993-09-14,1,"",President,80000,-63.58
10407,2010-04-04,4,2010,56,2,765.60,633.92,131.68,30,0.00,55.48,Desperado Jeans,Men´s Clothes,Los Hombres Machos,Spain,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,76.20
10407,2010-04-04,4,2010,56,2,31.65,26.21,5.44,15,0.00,55.48,Racing Truck  Socks,Sportwear,Bar Åkeri,Norway,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,-50.04
10407,2010-04-04,4,2010,56,2,484.95,401.54,83.41,15,0.00,55.48,Atles Lussekofta,Men´s Clothes,Bar Åkeri,Norway,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,27.93
10408,2011-03-05,3,2011,23,1,39.20,32.46,6.74,10,0.00,71.84,Mehmet-Skor,Babywear,ABC,Sweden,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,-65.10
10408,2011-03-05,3,2011,23,1,204.54,169.36,35.18,6,0.00,71.84,Patamonia Fleece Jacket,Sportwear,Mountain International,Canada,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,-36.66
10408,2011-03-05,3,2011,23,1,1088.85,901.57,187.28,35,0.00,71.84,Sheat Shoes,Sportwear,Fast Runners,Canada,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,115.44
10409,2010-07-06,7,2010,54,2,294.96,244.23,50.73,12,0.00,56.30,Kool Sunglasses,Children´s wear,SatSUMAs,Japan,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-5.57
10409,2010-07-06,7,2010,54,2,131.52,108.90,22.62,12,0.00,56.30,Basket Shoes,Sportwear,Hot Pants,UK,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-33.68
10410,2010-04-07,4,2010,10,3,1272.04,1053.25,218.79,49,0.00,25.49,Car Boots,Sportwear,Bar Åkeri,Norway,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,193.30
10410,2010-04-07,4,2010,10,3,149.12,123.47,25.65,16,0.00,25.49,Rasta WCT,Sportwear,FrisersAfrong,France,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,0.16
10411,2013-03-07,3,2013,10,3,277.20,191.27,85.93,25,46.20,61.50,Duck Shirt,Babywear,Mayflower,USA,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,24.43
10411,2013-03-07,3,2013,10,3,3298.56,2276.01,1022.55,40,549.76,61.50,Okkaba Skin Jackets,Womens wear,Asin Fashion Ltd Co,Singapore,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,961.05
10411,2013-03-07,3,2013,10,3,98.93,68.26,30.67,9,16.49,61.50,Rasta WCT,Sportwear,FrisersAfrong,France,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-30.83
10412,2010-09-10,9,2010,87,2,560.78,422.11,138.67,20,50.98,37.28,Kool Sunglasses,Children´s wear,SatSUMAs,Japan,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,101.39
10413,2011-03-11,3,2011,41,1,504.24,417.51,86.73,24,0.00,64.69,Lenin Jeansshorts,Men´s Clothes,Sunny Clothes,UK,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,22.04
10413,2011-03-11,3,2011,41,1,1214.80,1005.85,208.95,40,0.00,64.69,Sheat Shoes,Sportwear,Fast Runners,Canada,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,144.26
10413,2011-03-11,3,2011,41,1,5809.44,4810.22,999.22,14,0.00,64.69,Minnki Pälsii,Womens wear,Nordik Koskenkorva,Finland,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,934.53
10414,2010-04-11,4,2010,21,2,166.32,131.16,35.16,18,7.92,73.13,Squash Shorts,Sportwear,Hot Pants,UK,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-37.97
10414,2010-04-11,4,2010,21,2,1290.50,1107.48,183.02,50,0.00,73.13,Car Boots,Sportwear,Bar Åkeri,Norway,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,109.89
10415,2010-04-12,4,2010,37,2,45.34,37.54,7.80,2,0.00,29.01,TieBreak Tennis shoes,Men´s Footwear,New Balls,Australia,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-21.21
10415,2010-04-12,4,2010,37,2,516.80,464.81,51.99,20,0.00,29.01,Car Boots,Sportwear,Bar Åkeri,Norway,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,22.98
10416,2011-03-13,3,2011,32,3,187.60,155.45,32.15,20,0.00,22.48,Squash Shorts,Sportwear,Hot Pants,UK,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,9.67
10416,2011-03-13,3,2011,32,3,553.20,458.05,95.15,10,0.00,22.48,Jumpin Jack Flash Dress,Womens wear,Cangaroo Shoes,Australia,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,72.67
10416,2011-03-13,3,2011,32,3,374.80,310.33,64.47,20,0.00,22.48,Burned Rubber Shoes,Ladies´Footwear,Pirilli Company,Italy,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,41.99
10417,2012-04-12,4,2012,73,2,3960.50,3292.62,667.88,50,0.00,29.88,Le Baby Dress,Womens wear,Like Paradis,France,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,638.00
10417,2012-04-12,4,2012,73,2,31.55,20.90,10.65,2,6.31,29.88,Rodbye Troje,Babywear,Prael Ltd,Denmark,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-19.23
10417,2012-04-12,4,2012,73,2,565.20,374.39,190.81,36,113.04,29.88,Cap,Sportwear,Hot Pants,UK,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,160.93
10417,2012-04-12,4,2012,73,2,465.50,385.43,80.07,35,0.00,29.88,Skirt,Womens wear,Austerlich,Germany,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,50.19
10418,2011-04-14,4,2011,63,2,1164.60,964.29,200.31,60,0.00,64.34,Mr X Trousers,Men´s Clothes,Sunny Clothes,UK,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,135.97
10418,2011-04-14,4,2011,63,2,1410.75,1168.10,242.65,55,0.00,64.34,Lundenhagen Boots,Men´s Footwear,Niemegen Boots,Netherlands,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,178.31
10418,2011-04-14,4,2011,63,2,388.80,321.93,66.87,16,0.00,64.34,Adihash Running Shoe,Sportwear,Fast Runners,Canada,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,2.53
10418,2011-04-14,4,2011,63,2,463.65,383.90,79.75,15,0.00,64.34,Nikee Running Shoes,Children´s wear,Nitsuchiba,Japan,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,15.41
10419,2011-04-17,4,2011,44,2,289.17,228.03,61.14,60,13.77,67.45,Game Over T-Shirt,Sportwear,FrisersAfrong,France,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-6.31
10419,2011-04-17,4,2011,44,2,39.27,32.65,6.62,20,1.87,67.45,Racing Truck  Socks,Sportwear,Bar Åkeri,Norway,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-60.83
10420,2012-04-17,4,2012,37,2,806.96,607.42,199.54,20,73.36,79.18,Fuji Boots,Men´s Footwear,Nitsuchiba,Japan,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,120.36
10420,2012-04-17,4,2012,37,2,59.14,44.51,14.62,2,5.38,79.18,Aino Shoes,Babywear,SatSUMAs,Japan,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-64.55
10420,2012-04-17,4,2012,37,2,276.06,207.79,68.26,8,25.10,79.18,US-Master Jeans,Men´s Clothes,New Balls,Australia,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-10.91
10420,2012-04-17,4,2012,37,2,23.76,17.88,5.88,20,2.16,79.18,Mehmet-Napp,Babywear,ABC,Sweden,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-73.30
10421,2010-06-18,6,2010,61,2,42.04,30.27,11.77,4,5.48,31.83,Squash Shorts,Sportwear,Hot Pants,UK,Elvis Presley,1993-09-14,1,"",President,80000,-20.06
10421,2010-06-18,6,2010,61,2,955.80,791.40,164.40,30,0.00,31.83,Bike Helmet,Sportwear,Der Bahnhof,Germany,Elvis Presley,1993-09-14,1,"",President,80000,132.57
10421,2010-06-18,6,2010,61,2,964.27,694.28,270.00,15,125.78,31.83,Jumpin Jack Flash Dress,Womens wear,Cangaroo Shoes,Australia,Elvis Presley,1993-09-14,1,"",President,80000,238.16
10421,2010-06-18,6,2010,61,2,138.35,104.83,33.52,10,18.05,31.83,Skirt,Womens wear,Austerlich,Germany,Elvis Presley,1993-09-14,1,"",President,80000,1.69
10422,2010-04-19,4,2010,27,1,56.66,46.91,9.75,2,0.00,65.54,Bike Helmet,Sportwear,Der Bahnhof,Germany,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,-55.79
10423,2010-09-20,9,2010,31,2,107.66,89.14,18.52,14,0.00,49.89,Rossi Bermuda Shorts,Bath Clothes,Ravenna Fashion,Italy,Elvis Presley,1993-09-14,1,"",President,80000,-31.37
10423,2010-09-20,9,2010,31,2,178.40,147.72,30.68,20,0.00,49.89,Rasta WCT,Sportwear,FrisersAfrong,France,Elvis Presley,1993-09-14,1,"",President,80000,-19.21
10424,2011-09-19,9,2011,51,3,399.60,275.72,123.88,60,66.60,70.35,LA. Shorts,Bath Clothes,Smooth Clothes,USA,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,53.53
10424,2011-09-19,9,2011,51,3,5068.56,3497.31,1571.25,49,844.76,70.35,Le Baby Dress,Womens wear,Like Paradis,France,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,1500.90
10424,2011-09-19,9,2011,51,3,450.72,324.65,126.07,30,75.12,70.35,Cap,Sportwear,Hot Pants,UK,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,55.72
10425,2011-02-21,2,2011,41,1,450.50,298.41,152.09,10,90.10,23.12,Feiss Fleece Trousers,Sportwear,Mountain International,Canada,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,128.97
